,PERSON_ID,TEAM_ID,Location,GAME_ID,Against_Team_ID,5_g_d,d_rest,MA_20,MA_10,MA_5,MIN_20,MIN_10,MIN_5,home_aff,away_aff,EXP_SCO,DISPLAY_FIRST_LAST,EXP_SCO_L,MIN_COV_20,SCO_COV_20,multi_cov,TEAM_ABBREVIATION,price,per_price,
129,1628391,1610612749,AWAY,21700634,1610612748,42,3,2.64,-4.07,-4.12,3.86,3.62,4.75,0.530476871,1.417353892,-0.21,D.J. Wilson,-0.297644317,0.999,5.322,,MIL,300,-1007.91,
124,203953,1610612749,AWAY,21700634,1610612748,12,339,34.9,34.83,40.16,34.2,32.76,28.6,1.008015323,0.991984677,32.41,Jabari Parker,32.15022338,0.134,0.246,,MIL,,0.00,
64,1626210,1610612756,HOME,21700636,1610612754,10,277,39.31,41.99,39.71,20.99,19.31,27.83,1.166988546,0.860729164,25.45,Alan Williams,29.69985849,0.328,0.272,,PHX,,0.00,
6,204020,1610612748,HOME,21700634,1610612749,12,3,27.84,27.55,24.74,31.77,34.02,32.81,1.019887533,0.980112467,24.39,Tyler Johnson,24.87505693,0.164,0.276,,MIA,,0.00,
111,1626167,1610612754,AWAY,21700636,1610612756,11,5,32.16,30.7,30.39,29.63,26.51,22.55,1.00333822,1.068334755,22.65,Myles Turner,24.19778219,0.198,0.298,,IND,,0.00,
12,203079,1610612748,HOME,21700634,1610612749,8,22,26.28,27.59,31.2,29.87,29.63,27.85,1.030862818,0.969137182,22.93,Dion Waiters,23.63768441,0.229,0.355,,MIA,,0.00,
52,1627737,1610612756,HOME,21700636,1610612754,8,6,28.07,32.18,35.38,22.67,25.16,25.45,1.024287496,0.975712504,21.63,Marquese Chriss,22.15533855,0.29,0.361,,PHX,,0.00,
5,201949,1610612748,HOME,21700634,1610612749,18,4,31.85,33.25,30.3,25.07,21.11,24.35,0.963117404,1.036882596,20.77,James Johnson,20.00394847,0.393,0.298,,MIA,,0.00,
56,1628367,1610612756,HOME,21700636,1610612754,10,6,27.34,32.7,34.78,22.89,20.86,22.35,0.984518462,1.015481538,19.34,Josh Jackson,19.04058705,0.288,0.414,,PHX,,0.00,
95,202323,1610612757,AWAY,21700637,1610612750,9,3,21.97,24.55,25.38,27.26,26.55,26.7,0.961624504,1.038375496,17.87,Evan Turner,18.55577012,0.211,0.297,,POR,,0.00,
50,203477,1610612756,HOME,21700636,1610612754,9,10,26.94,31.62,30.42,20.51,22.84,20.45,1.032099409,0.967900591,17.52,Isaiah Canaan,18.08238164,0.457,0.43,,PHX,,0.00,
